"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"43","Groovy Filth - Original Mix","Maksim Dark","Groovy Filth","7:02","USLZJ1778418","https://open.spotify.com/track/7CwhEjnn3O8kuRl4iqjauj"
"44","Watch What","Andreas Henneberg","Ocai","7:21","FR6V82402515","https://open.spotify.com/track/1fxx2hofgi7qXxlH39z0ol"
"45","Maximum Overdrive","Boris Brejcha","Space Gremlin","9:42","DEKB71576093","https://open.spotify.com/track/3FnVz2gUK3GpG2UMkKA9AO"
"46","Sysma - Original Mix","Dusty Kid","Kéia EP","7:21","ITK771700002","https://open.spotify.com/track/5jUbmkU6rjKGsynCNZEct2"
"47","Cirrus","Spektre","Cirrus","6:33","GBKQU1764582","https://open.spotify.com/track/3bvVFrHcnhNXaRGkcemKBL"
"48","Pandemonium","Worakls","Mellotron","6:25","DEAA21600014","https://open.spotify.com/track/51q75hNecOooZoFdON9GOh"
"49","My Black Sheep - Matrixxman Isolation Mix","Len Faki","My Black Sheep 10Y Anniversary Mixes","6:27","DETB31792904","https://open.spotify.com/track/6I6VaSBFcaLlsBAOYAmebe"
"50","Tarantula - 7 Year Itch Rework","Pleasurekraft","Tarantula (7 Year Itch Rework)","7:49","US7NS1700005","https://open.spotify.com/track/52ee8x7w7ADeAVybHu9lcR"
"51","America","Funkin Matt","Fool’s Gold Clubhouse Vol. 4","4:15","QMSDU1400138","https://open.spotify.com/track/66ggIWzQYyCdlPC1u7hvB9"
"52","Lifted","Dustycloud","Alchemy 2","5:05","USLD91710837","https://open.spotify.com/track/1DeLb4ZQKRL8SAGBU0iP6K"
"53","WATP 2","Addison Groove","Where Are the People","4:38","USQY51774820","https://open.spotify.com/track/6pOrFxNBM3v3TOWOhI7WgQ"
"54","Jet","Ellen Allien","Orchestra of Bubbles","6:34","DEAE60600548","https://open.spotify.com/track/5evTc3kcz11bO0fFblfgfz"
"55","6AM - Original Mix","Juliet Fox","6AM","6:27","GBJAJ1700708","https://open.spotify.com/track/2Fc7p63s5FGJOF9HWMjLKf"
"56","Myli","Julian Jeweil","Destination","6:22","FR2X41676381","https://open.spotify.com/track/6m1IAVMa6pVVeWemjj69Ng"
"57","Black Hole - Ultimate Mix","Marascia","Black Hole","7:04","ITO901700008","https://open.spotify.com/track/6txPC8Mkb2N6IpP5pboeS1"
"58","Milk (Jacky 0 Remix)","Dusty Kid","Milk (Remixes)","7:54","ITK771700007","https://open.spotify.com/track/5WlFUBUmc0Bqo9nKpJmcp1"
"59","Taktik","Oliver Huntemann","Propaganda","6:39","DEL021702012","https://open.spotify.com/track/2MkpDFRGY6KRWtFsaDRbiv"
"60","Schattenmönch","Boris Brejcha","22","6:57","DEKB71534061","https://open.spotify.com/track/6n6OzalpQtkKKXlwB0ndJF"
"61","Desert Times - Boris Brejcha Remix","Florian Meindl feat. Ricardo Phillips","Desert Times EP","7:29","IT00G1100411","https://open.spotify.com/track/2XLE0e1xtm4sFD8xvMq6v4"
"62","Waiting in the Weeds","Andreas Henneberg","Mountain","7:16","DENM91000107","https://open.spotify.com/track/3IbUyKrsCZ2PzCirZ3Pkc9"
"63","Vanilla Sky","Boris Brejcha","DJ Mixes Single Tracks","6:41","DEKB71568378","https://open.spotify.com/track/0xrFRhhk7G04ZBcbubjWqR"
"64","Lucky Strike","Victor Ruiz","Lucky Strike","7:19","DET751300066","https://open.spotify.com/track/7j9BbKDn6skg3iX1Hwjr0W"
"65","Get Down","Alex Stein","Get Down","6:13","GB-SMU-37-15552","https://open.spotify.com/track/23RFoMPaYoKyjOFsitH8vz"
"66","Triggered","Nuno Lisboa","Triggered EP","6:54","CA5KR1535692","https://open.spotify.com/track/3MtIKTmAMJG4B0EiOERxJb"
"67","Ruff Hysteria","DJ Seinfeld","Ruff Hysteria","6:00","GBQLP1700339","https://open.spotify.com/track/5cJnjUiWhTTBwT4Fo2J7rM"
"68","Preset Heaven","Adam Beyer","A-Sides, Vol. 6","8:15","GBUR61700090","https://open.spotify.com/track/4gwuQ4JIMhJc4vyg8pyeDS"
"69","Shiba Inu Dub","Patricia","Several Shades of the Same Color","7:27","US2J71713810","https://open.spotify.com/track/6VQ1E7QHAmQLOoyfuFVKol"
"70","TAO - Original Mix","Hermanez","Fabel EP","6:21","GBENT1440049","https://open.spotify.com/track/4XECsm62LcqbJsXiH53GhV"
"71","Skirmish - Original Mix","Andreas Henneberg","Driss EP","7:06","DEY470940505","https://open.spotify.com/track/71pbmqUfDPgsBLCgrWkuTr"
"72","EVERYBODY WANTS TO GO TO HEAVEN REMIXES - Remix Victor Ruiz","Boris Brejcha","EVERYBODY WANTS TO GO TO HEAVEN - REMIXES","6:24","DEKB71449807","https://open.spotify.com/track/5DKASPIlk3Oh10NpEsjNA0"
"73","KlingKlip - Original Mix","Victor Ruiz","Jaws EP","7:27","GBKQU1697651","https://open.spotify.com/track/0u0UkR25I7rQVw5tQgj1tD"
"74","Nofalia","Ron Flatter","Nofalia EP","7:35","DESH41700245","https://open.spotify.com/track/3rZ3HStsOiAL2kyCQr3ewh"
"75","Aaron","Paul Kalkbrenner","Berlin Calling (The Soundtrack by Paul Kalkbrenner)","5:54","DENZ71300059","https://open.spotify.com/track/2p6LQRALG9o3qKq8gOWX9f"
"76","Sleepless - Stephan Bodzin Remix","Pan-Pot","The Other Remixes","9:00","DESR41400052","https://open.spotify.com/track/50MkrUXSXsS1Q1bn95XQcm"
"77","Fugitives - Joseph Capriati Remix","Pan-Pot","The Other Remixes","8:49","DESR41400056","https://open.spotify.com/track/4lc5oFyk3SUxwj3ilptwNU"
"78","Riot - Carl Cox Remix","Pan-Pot","The Other Remixes","5:35","DESR41400054","https://open.spotify.com/track/08GK4HODEPbDlwqBIsLqKm"
"79","Captain My Captain","Pan-Pot","Totally Mobilee - Pan-Pot Collection, Vol. 1","8:18","DECL11000305","https://open.spotify.com/track/5sxFzcxrwXAViiWO0YvQan"
"80","Stormy Memories","Ellen Allien","Nost","8:03","DEAE61700017","https://open.spotify.com/track/5kXxYCckWZDUq5QbOytHSy"
"81","Wisdom","Charlotte de Witte","Wisdom EP","6:48","GBKQU1751920","https://open.spotify.com/track/08DRVj2OaVZ1tcpSEJtUgs"
"82","Little Sun","Dense & Pika","Suki","6:58","GBUR61700087","https://open.spotify.com/track/5S2XVE3PXYKrfVwYVwDLg6"
"83","First Bastion - Original Mix","Hidden Empire","Binär Mieze EP","6:21","ES84B1710125","https://open.spotify.com/track/15mbrCQ0SwGe6Pz7QoJLwH"
"84","Magic Nuts","Felix Bernhardt","Magic Nuts","6:27","DEAR41751769","https://open.spotify.com/track/4gmpI5KiUuncJIb7okDwrF"
"85","Sentinel - Ambivalent Remix","Hobo","Rock the Disco","5:59","DEKB71629782","https://open.spotify.com/track/2ek9nyhE6pyzJRQcLzVl2S"
"86","Being Alone","Ramiro Lopez","Being Alone","6:36","GBUR61700121","https://open.spotify.com/track/0R209a1CmfUkjVx2jXPybc"
"87","They All Called 'Em Garys","Alan Fitzpatrick","They All Called 'Em Garys","6:51","UKGGD1700011","https://open.spotify.com/track/7j3eLuQJOgQvDTbVAWzGWx"
"88","All I See - Radio Edit","Anja Schneider","All I See (Radio Edit)","3:32","UKLZW1700010","https://open.spotify.com/track/5L464b2ggnhpHMB5GbPK7R"
"89","Peacemaker","Occer","Small Talk Series, Vol. 11","7:10","USQY51789230","https://open.spotify.com/track/4WCgqVChQmUD9PjBtYviaN"
"90","Rock That Shit","Boris Brejcha","DJ Mixes Single Tracks","7:27","DEKB71568375","https://open.spotify.com/track/4TMhK6ukXH7ohe4aHEaQgQ"
"91","Elektriciteit - Original Mix","Egbert","Wild EP","7:38","GBKQU1697646","https://open.spotify.com/track/4Fz569MOKBCiQzetCj0opJ"
"92","Fire Eyes","Layton Giordani","Where It Begins","6:58","GBUR61700043","https://open.spotify.com/track/1NVUm3wrOHIBlfXUeIgfjJ"
"93","Midfield","Luigi Madonna","Midfield EP","7:29","DESR41700145","https://open.spotify.com/track/7HfzbYD6EYmDEjI6CpiWnO"
"94","Unconditional Beauty","Luigi Madonna","Background","6:32","GBUR61200278","https://open.spotify.com/track/6OtbkUGEyNg4NcCMZXE0Kr"
"95","Dark Soul","Luigi Madonna","Midfield EP","6:41","DESR41700147","https://open.spotify.com/track/3Knq57zJVQYWlpZrAWBZBj"
"96","Ghettoblaster","Enrico Sangiuliano","Moon Rocks","6:49","GBUR61600098","https://open.spotify.com/track/17oIHgjaQnRDQY0hhqmY3V"
"97","We Do What We Want","Alan Fitzpatrick","We Do What We Want","8:26","UKGGD0600001","https://open.spotify.com/track/4gve8Gz2iNDnOIfqQK2dAI"
"98","Wait and Think","Victor Ruiz","Time","7:10","ITH641056791","https://open.spotify.com/track/0EqByo18GyPJl2TbXF5nQ6"
"99","I Believe","Luigi Madonna","Primo","6:51","GBUR61200120","https://open.spotify.com/track/2MbYokbr3hf8KaEPDeFCsJ"
"100","Squadmates - Kostas Maskalides Remix","UMEK","Squadmates (Remixes) - Single","7:09","SIB151700005","https://open.spotify.com/track/44Zxa9Vixkxq36ZLuEIRTb"
"101","Dances on Wood","Thomas Schumacher","Dances On Wood / Wake Up","8:00","DENC31800023","https://open.spotify.com/track/3GbG7r020KVJgWNZlYWr9Q"
"102","Twisted - Pleasurekraft Remix","Ramiro Lopez","Nagelbett","7:31","UKACT1780475","https://open.spotify.com/track/6BwxsMnVft03M1MD2p9QyE"
"103","My Head Is On Fire","Coyu","My Head Is On Fire","6:35","GBKQU1766334","https://open.spotify.com/track/22YNTCWbJaMbTw6SrnQuDp"
"104","Lockheat","Koen Groeneveld","Lockheat","3:50","GBLV61712328","https://open.spotify.com/track/7CgZErWDGUoZSXx8YOFtFu"
"105","Fade Into You - Original Mix","Spektre","Fade Into You","7:30","GBKQU1473923","https://open.spotify.com/track/49mRT42zLdxbHVsmJiTszW"
"106","Bleeding Heart","Boris Brejcha","Bleeding Heart","8:21","DEKB71614374","https://open.spotify.com/track/19iSfXqouWsiUohcSOnl8L"
"107","Start of Madness","Enrico Sangiuliano","A-Sides, Vol. 5 (20 Years 20 Tracks)","7:18","GBUR61600077","https://open.spotify.com/track/3EMiVlhvybVHonJ3stmSi4"
"108","Take a Nap - Victor Ruiz Torn Mix","Victor Ruiz","Dark Weapons Vol. 1","8:31","DEH741003731","https://open.spotify.com/track/2MpQ1JJnJP9XPwtMIGYs5T"
"109","Rush Me - Original Mix","Daniel Steinberg","Rush Me","7:08","DEMI30900004","https://open.spotify.com/track/2XDPEHARsmTbn1R1SjGfdP"
