"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"42","Swimswimswim","Tosca","Outta Here","4:12","DEG931400641","https://open.spotify.com/track/1OIauOQENP4NDDUyrzlj8z"
"43","Chrono Trigger","Disrupt","Jahtarian Dubbers, Vol. 4","1:41","DEGT81400271","https://open.spotify.com/track/28Dbha01JI06aLxhjswhn9"
"44","Get Up","Chinese Man","Racing With the Sun","4:01","FRP7S1100100","https://open.spotify.com/track/5PEZJMU4xfiSNwT26JhHnL"
"45","Betty","Degiheugi","Endless Smile","3:56","FR26V1521852","https://open.spotify.com/track/23EOmJivOZ88WJPUbIPjh6"
"46","ORAS","SARO","ORAS","3:24","FR91F1800250","https://open.spotify.com/track/3SqQYyj786liVlinkHrha3"
"47","Get On Uppa","Waldeck","Gran Paradiso","3:44","ATW631603113","https://open.spotify.com/track/5aotZwwhBYBDUe5sXFRXoN"
"48","Las Estrellas","Hippocampe Fou","Céleste","4:53","BEY911500001","https://open.spotify.com/track/1oyYPZ2o1AeBfjs3pf6a3I"
"49","Maximum (Bassnectar & ill.Gates Remix)","DJ Vadim","Timestretch","4:27","US5PM1010013","https://open.spotify.com/track/1fo00RvvnYaXWJDPyWE9X8"
"50","Eli Eli - Maduk Remix","Misun","Maduk Summer Remixes (Liquicity Presents)","4:36","NLCK41026457","https://open.spotify.com/track/20ZWeNeklm76rirBb4JigS"
"51","Aeroplane","Benly","Aeroplane","3:31","TCADR1837806","https://open.spotify.com/track/4JUyW6WXddGCCDRGzqyZUS"
"52","Indisposed","Deluxe","The Deluxe Family Show","3:39","FRP7S1300029","https://open.spotify.com/track/2CCYkChk2cTdU8RIRD0yYD"
"53","All That Sound","Nu","This Land","9:16","DEY470927114","https://open.spotify.com/track/4Kq3t1KDkHsPi440u0xDIp"
"54","Still (Remix)","DJ RusLan","Still (Remix)","3:19","TCABO1332289","https://open.spotify.com/track/4D75bbLCyaX8X0QcR4XDa1"
"55","Süßes C","GReeeN","Süßes C","3:41","DELJ81765216","https://open.spotify.com/track/2KWpVkzwyEAEREMz9SGemj"
"56","TIFERET","LSDREAM","VOYAGER","8:35","CA5KR1811543","https://open.spotify.com/track/5k3WtXIO521Z3lcAy0FXZY"
"57","Dub in Faluja","Mahom","Fell In","4:03","FR7OZ1700050","https://open.spotify.com/track/2EB23Svy7diMVybUh7F0pT"
"58","Bluebird","One Self","Children of Possibility","3:40","GBCFB0501105","https://open.spotify.com/track/1MvH3FdvO17S2eQ4IeNRCo"
"59","Honey, There's No Time","Feng Suave","Feng Suave","4:21","NLU7R1700002","https://open.spotify.com/track/6utl2puTMct2t0ntNnZc68"
"60","Supernova Pilot - Original Mix","Dub Fx, Pete Philly & Mr. Woodnote","Supernova Pilot","6:53","DEY470919054","https://open.spotify.com/track/4cZN9U3bW4OCLMeNmkTdPv"
"61","Surfing the Silvatide","Ancient Astronauts","We Are to Answer","4:19","DEOV41600513","https://open.spotify.com/track/7sYl5wJArtYAcznRvm4pen"
"62","Time","Charlie P","Ghetto Cycle","4:54","FR5R00908122","https://open.spotify.com/track/0uMhw0nKJSAybvhGRIUoYp"
"63","Rekonkviszta Diszkó","Dé:Nash","Tarsolylemez","3:19","HUUM71900038","https://open.spotify.com/track/6tUZrbve3b7a6cXsIK9GM6"
"64","Peter Pan Death Wish","Melkeveien","Peter Pan Death Wish","4:50","NO2SI1401010","https://open.spotify.com/track/6oDeZwfb2Odvvlp4a7lnxB"
"65","Pesetas","Rilès","Pesetas","3:14","TCADC1725047","https://open.spotify.com/track/0Ei1aBiIELwXmUcIZDETOi"
"66","Le prix du paradis","Tiken Jah Fakoly","Dernier Appel","3:17","FRUM71400524","https://open.spotify.com/track/0h3yC0jSyS2LfaDlsm8FIY"
"67","Redbone - triple j Like A Version","Northeast Party House","Redbone (triple j Like A Version)","3:37","AUAB01700801","https://open.spotify.com/track/3iQJh5VBC9WYAQqpEwJEkA"
"68","Don't You Know I'm In a Band","Confidence Man","Confident Music for Confident People","3:24","AUZEI1700010","https://open.spotify.com/track/42NhYT4c8642P9DF1bmYqq"
"69","Daddy Cool","Boney M.","Take The Heat Off Me","3:29","DEC737600002","https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g"
"70","Supanova","Brother Culture","Supanova","6:22","FRX201851993","https://open.spotify.com/track/4R8xZG6SNSJvk2ukVJKzNu"
"71","Family","Jahneration","Mic Sessions","2:51","FR8Q21801002","https://open.spotify.com/track/4ykUsITMIyz4uQbBaLxWvg"
"72","Ghetto Youths","Jahneration","The Foreword","4:31","FR6V81469556","https://open.spotify.com/track/5QFDgEuY57GUOd9bSagGSx"
"73","A Hot Day","Babyhead","Heavy Weather","4:01","USQY51710491","https://open.spotify.com/track/5SaWPWIQklP73AkDAzSMl6"
"74","They Want (feat. Skarra Mucci)","Dub Inc.","Paradise","4:43","FR3DJ1300060","https://open.spotify.com/track/6FG1jsN0xOnQEfsndDu8r8"
"75","Glory to God","Wayne Marshall","Glory to God","4:04","USA2P1834876","https://open.spotify.com/track/3IrpCxEx7YG4goBWfnErU4"
"76","Washington Square","Chinese Man","Groove Sessions","4:11","FR6V80627178","https://open.spotify.com/track/0phAx12SI8oWN1AmhyceSQ"
"77","One & Only","L'Entourloop","Le savoir faire","4:03","FR2R01700730","https://open.spotify.com/track/74JQ7vagNSwsDU2aUNIlZr"
"78","Seek King Ras Tafari","Jah Melodie","Seek King Ras Tafari 7'","3:45","FR6V80786927","https://open.spotify.com/track/3Aa1MpNtiuLsqxvHf13Zy0"
"79","What the Hell","Lucille Crew","Restless Mind / Exhausted Body","3:08","IL6261500003","https://open.spotify.com/track/44EH4PFJlsA7KDmpV3lxEY"
"80","Outta Road","Naâman","Rays of Resistance","3:33","FR2EI1502570","https://open.spotify.com/track/5wwDZoG2aXMUaxJZu1c6CO"
"81","Ask Yourself - Original Mix","Foreign Concept","Make Meals EP","5:51","GBVPL1400020","https://open.spotify.com/track/3VQkn8LEQW5mr7vyy9cQCx"
"82","Elevator","JPattersson","Ruehn","3:31","DEU671602111","https://open.spotify.com/track/7rxGwreZKALEvHE2lME6uM"
